d,n,j,D_original,D_squarefree,tunnell_result
2882062388,4,227766,103754245980,25938561495,✓ CONFIRMADO
3332150218,4,244906,119957407860,29989351965,✓ CONFIRMADO
39275510579,2,198181,78551021160,2181972810,✓ CONFIRMADO
152468773,5,78095,12197501860,3049375465,✓ CONFIRMADO
3297951648,4,243646,118726259340,29681564835,✓ CONFIRMADO
332614609,5,115346,26609168740,135761065,✓ CONFIRMADO
1200124003,6,300016,180018600480,1250129170,✓ CONFIRMADO
1869434089,5,273455,149554727140,37388681785,✓ CONFIRMADO
76287268601,2,276202,152574537204,4238181589,✓ CONFIRMADO
394558631,2,19864,789117264,5479981,✓ CONFIRMADO
88475335,6,81460,13271300280,368647230,✓ CONFIRMADO
85558297511,2,292504,171116595024,10694787189,✓ CONFIRMADO
320073,10,11386,259259220,7201645,✓ CONFIRMADO
82095143005,2,286523,164190286012,41047571503,✓ CONFIRMADO
699336367,4,112197,25176109224,6294027306,✓ CONFIRMADO
20367713939,2,142716,40735427880,10183856970,✓ CONFIRMADO
9067514951,2,95224,18135029904,1133439369,✓ CONFIRMADO
30707978,4,23511,1105487220,276371805,✓ CONFIRMADO
5630176189,2,75035,11260352380,2815088095,✓ CONFIRMADO
40731917861,2,201822,81463835724,20365958931,✓ CONFIRMADO
3626637972,4,255499,130558967004,32639741751,✓ CONFIRMADO
12525974479,2,111920,25051948960,1565746810,✓ CONFIRMADO
5717552609,2,75615,11435105220,567105,✓ CONFIRMADO
54408128279,2,233256,108816256560,6801016035,✓ CONFIRMADO
31552949791,2,177632,63105899584,986029681,✓ CONFIRMADO
19809577261,2,140747,39619154524,9904788631,✓ CONFIRMADO
52337771849,2,228775,104675543700,1046755437,✓ CONFIRMADO
666390587,5,163266,53311246980,13327811745,✓ CONFIRMADO
2579674889,2,50791,5159349780,1289837445,✓ CONFIRMADO
8874111005,2,94203,17748222012,54778463,✓ CONFIRMADO
2464079959,2,49640,4928159920,308009995,✓ CONFIRMADO
192328295,5,87711,15386263620,464505,✓ CONFIRMADO
70300545305,2,265143,140601090612,35150272653,✓ CONFIRMADO
39901460761,2,199754,79802921524,19950730381,✓ CONFIRMADO
36777075301,2,191774,73554150604,18388537651,✓ CONFIRMADO
8732061469,2,93446,17464122940,4366030735,✓ CONFIRMADO
3926826050,4,265863,141365737812,35341434453,✓ CONFIRMADO
43279185331,2,208037,86558370664,21639592666,✓ CONFIRMADO
1290921203,4,152436,46473163320,11618290830,✓ CONFIRMADO
43122467939,2,207660,86244935880,21561233970,✓ CONFIRMADO
70104147,9,142092,40379988744,1121666354,✓ CONFIRMADO
16583386951,2,128777,33166773904,2072923369,✓ CONFIRMADO
6082518089,2,77991,12165036180,3041259045,✓ CONFIRMADO
2417934755,2,49173,4835869512,1208967378,✓ CONFIRMADO
547603,50,181301,65739742600,13416274,✓ CONFIRMADO
30839750155,2,175613,61679500312,15419875078,✓ CONFIRMADO
57973117,4,32304,2087032224,130439514,✓ CONFIRMADO
72353737181,2,268987,144707474364,36176868591,✓ CONFIRMADO
279575119,2,16721,559150240,34946890,✓ CONFIRMADO
84380875,4,38973,3037711512,759427878,✓ CONFIRMADO
2952346559,2,54336,5904693120,92260830,✓ CONFIRMADO
1246455020,5,223290,99716401620,2769900045,✓ CONFIRMADO
179725000,4,56878,6470100012,1617525003,✓ CONFIRMADO
1986838250,5,281911,158947060020,39736765005,✓ CONFIRMADO
3258114818,4,242170,117292133460,29323033365,✓ CONFIRMADO
22559889799,2,150200,45119779600,112799449,✓ CONFIRMADO
600579773,6,212235,90086965980,186130095,✓ CONFIRMADO
509246921,2,22567,1018493844,254623461,✓ CONFIRMADO
468468380,5,136890,37477470420,684445,✓ CONFIRMADO
245741891,6,135760,36861283680,661830,✓ CONFIRMADO
44965414549,2,212051,89930829100,899308291,✓ CONFIRMADO
27734072759,2,166536,55468145520,42799495,✓ CONFIRMADO
886097462,5,188266,70887796980,104863605,✓ CONFIRMADO
7994952809,2,89415,15989905620,444164045,✓ CONFIRMADO
38754056459,2,196861,77508112920,19377028230,✓ CONFIRMADO
16536421,2,4067,33072844,168739,✓ CONFIRMADO
58610715311,2,242097,117221430624,7326339414,✓ CONFIRMADO
65790454511,2,256497,131580909024,8223806814,✓ CONFIRMADO
5756083,9,40716,3315503880,92097330,✓ CONFIRMADO
58860339931,2,242612,117720679864,2304814,✓ CONFIRMADO
2027963912,4,191059,73006700844,150840291,✓ CONFIRMADO
71415346931,2,267237,142830693864,3967519274,✓ CONFIRMADO
9005535505,2,94898,18011071012,4502767753,✓ CONFIRMADO
74834252921,2,273559,149668505844,37417126461,✓ CONFIRMADO
1300802978,5,228106,104064238260,2890673285,✓ CONFIRMADO
14642573041,2,121007,29285146084,7321286521,✓ CONFIRMADO
1572082849,2,39650,3144165700,31441657,✓ CONFIRMADO
10898629211,2,104397,21797258424,5449314606,✓ CONFIRMADO
23926366441,2,154682,47852732884,11963183221,✓ CONFIRMADO
3162206521,2,56234,6324413044,1581103261,✓ CONFIRMADO
1447856703,4,161436,52122841320,13030710330,✓ CONFIRMADO
1335179,2,1156,2670360,2310,✓ CONFIRMADO
3668917737,4,256984,132081038544,8255064909,✓ CONFIRMADO
65598735005,2,256123,131197470012,8263887,✓ CONFIRMADO
8774349911,2,93672,17548699824,121865971,✓ CONFIRMADO
31727268761,2,178122,63454537524,15863634381,✓ CONFIRMADO
73544287289,2,271191,147088574580,36772143645,✓ CONFIRMADO
4033710631,2,63512,8067421264,504213829,✓ CONFIRMADO
32632435379,2,180645,65264870760,16316217690,✓ CONFIRMADO
1970026,12,37819,2860477884,79457719,✓ CONFIRMADO
49518043201,2,222527,99036086404,24759021601,✓ CONFIRMADO
